reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.01,45
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.025,48
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.05,50
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.1,52
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.15,54
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.2,55
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.25,56
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.3,58
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.35,59
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.4,60
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.45,61
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.5,62
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.55,64
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.6,65
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.65,66
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.7,67
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.75,68
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.8,69
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.85,71
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.9,73
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.95,76
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.975,79
2025-12-13,wk inc flu hosp,-1,2025-12-06,01,quantile,0.99,82
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.01,3
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.025,4
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.05,4
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.1,5
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.15,5
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.2,6
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.25,6
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.3,6
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.35,7
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.4,7
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.45,7
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.5,7
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.55,8
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.6,8
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.65,8
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.7,9
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.75,9
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.8,10
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.85,10
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.9,11
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.95,13
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.975,13
2025-12-13,wk inc flu hosp,-1,2025-12-06,02,quantile,0.99,15
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.01,31
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.025,34
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.05,35
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.1,37
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.15,39
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.2,41
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.25,41
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.3,42
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.35,43
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.4,44
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.45,45
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.5,46
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.55,46
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.6,47
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.65,49
2025-12-13,wk inc flu hosp,-1,2025-12-06,04,quantile,0.7,49
